id,created_at,updated_at,cart_id,inventory_id,offer_id,delivery_fee,is_updated_price,currency,deleted_at
415,2021-02-10 09:43:17.000,2021-02-10 09:43:17.000,153,726,NULL,0.00,0,SGD,NULL
416,2021-02-10 09:43:23.000,2021-02-10 09:43:23.000,153,724,NULL,0.00,0,SGD,NULL
417,2021-02-10 09:51:14.000,2021-02-10 09:51:14.000,153,768,NULL,0.00,0,SGD,NULL
423,2021-02-11 09:39:43.000,2023-09-15 13:50:59.000,347,483,NULL,200.00,1,SGD,NULL
425,2021-02-12 08:32:20.000,2021-02-12 08:32:20.000,349,190,71,0.00,0,SGD,NULL
430,2021-02-14 11:09:41.000,2021-02-14 11:09:41.000,354,308,NULL,0.00,0,SGD,NULL
432,2021-02-14 15:13:10.000,2021-02-14 15:13:10.000,347,559,NULL,200.00,0,SGD,NULL
433,2021-02-14 15:47:48.000,2021-02-14 15:47:48.000,357,732,NULL,0.00,0,SGD,NULL
434,2021-02-14 15:48:08.000,2021-02-14 15:48:08.000,357,729,NULL,0.00,0,SGD,NULL
435,2021-02-14 15:48:51.000,2021-02-14 15:48:51.000,357,589,NULL,0.00,0,SGD,NULL
436,2021-02-14 15:56:04.000,2021-02-14 15:56:04.000,358,530,NULL,0.00,0,SGD,NULL
459,2021-02-17 09:44:32.000,2021-03-05 14:16:44.000,368,216,73,0.00,1,SGD,NULL
472,2021-02-19 04:12:41.000,2021-02-21 06:01:12.000,389,798,NULL,0.00,0,SGD,NULL
477,2021-02-19 08:23:15.000,2021-02-19 08:23:15.000,89,765,NULL,0.00,0,SGD,NULL
485,2021-02-19 21:43:46.000,2021-02-19 21:43:46.000,401,633,NULL,0.00,0,SGD,NULL
497,2021-02-22 11:33:55.000,2021-03-05 14:16:44.000,341,216,NULL,0.00,1,SGD,NULL
498,2021-02-22 11:41:21.000,2021-02-22 11:41:21.000,341,719,NULL,0.00,0,SGD,NULL
504,2021-02-23 22:36:16.000,2021-02-23 22:36:16.000,419,595,81,0.00,0,SGD,NULL
516,2021-02-25 12:36:56.000,2021-02-25 12:36:56.000,381,724,NULL,0.00,0,SGD,NULL
517,2021-02-25 15:56:28.000,2021-02-25 15:56:28.000,430,786,NULL,0.00,0,SGD,NULL
518,2021-02-25 15:57:31.000,2021-02-25 15:57:31.000,430,725,NULL,0.00,0,SGD,NULL
519,2021-02-25 15:58:25.000,2021-02-25 15:58:25.000,430,669,NULL,0.00,0,SGD,NULL
520,2021-02-25 15:58:42.000,2021-02-25 15:58:42.000,430,657,NULL,0.00,0,SGD,NULL
521,2021-02-25 16:10:39.000,2021-02-25 16:10:39.000,385,536,NULL,0.00,0,SGD,NULL
522,2021-02-25 16:14:39.000,2021-02-25 16:14:39.000,385,845,NULL,0.00,0,SGD,NULL
